"As at","Estimated resident population"
"Mar-91",3488000
"Jun-91",3495100
"Sep-91",3504600
"Dec-91",3516000
"Mar-92",3526500
"Jun-92",3531700
"Sep-92",3539600
"Dec-92",3552200
"Mar-93",3564400
"Jun-93",3572200
"Sep-93",3582900
"Dec-93",3597800
"Mar-94",3611500
"Jun-94",3620000
"Sep-94",3631800
"Dec-94",3648300
"Mar-95",3663700
"Jun-95",3673400
"Sep-95",3688600
"Dec-95",3706700
"Mar-96",3723400
"Jun-96",3732000
"Sep-96",3745600
"Dec-96",3762300
"Mar-97",3775200
"Jun-97",3781300
"Sep-97",3791300
"Dec-97",3802700
"Mar-98",3811200
"Jun-98",3815000
"Sep-98",3821000
"Dec-98",3829200
"Mar-99",3833000
"Jun-99",3835100
"Sep-99",3841100
"Dec-99",3851100
"Mar-00",3855900
"Jun-00",3857700
"Sep-00",3864900
"Dec-00",3873100
"Mar-01",3876200
"Jun-01",3880500
"Sep-01",3895400
"Dec-01",3916200
"Mar-02",3935700
"Jun-02",3948500
"Sep-02",3967600
"Dec-02",3989500
"Mar-03",4013300
"Jun-03",4027200
"Sep-03",4044600
"Dec-03",4061600
"Mar-04",4078700
"Jun-04",4087500
"Sep-04",4100600
"Dec-04",4114300
"Mar-05",4126600
"Jun-05",4133900
"Sep-05",4145900
"Dec-05",4161000
"Mar-06",4176100
"Jun-06",4184600
"Sep-06",4195500
"Dec-06",4209100
"Mar-07",4219400
"Jun-07",4223800
"Sep-07",4234300
"Dec-07",4245700
"Mar-08",4255600
"Jun-08",4259800
"Sep-08",4269600
"Dec-08",4280300
"Mar-09",4293500
"Jun-09",4302600
"Sep-09",4317300
"Dec-09",4332100
"Mar-10",4345700
"Jun-10",4350700
"Sep-10",4362700
"Dec-10",4373900
"Mar-11",4382500
"Jun-11",4384000
"Sep-11",4392000
"Dec-11",4399400
"Mar-12",4406500
"Jun-12",4408100
"Sep-12",4415600
"Dec-12",4425900
"Mar-13",4436000
"Jun-13",4442100
"Sep-13",4457900
"Dec-13",4477400
"Mar-14",4501100
"Jun-14",4516500
"Sep-14",4540300
"Dec-14",4564400
"Mar-15",4591900
"Jun-15",4609400
"Sep-15",4636300
"Dec-15",4663700
"Mar-16",4695000
"Jun-16",4714100
"Sep-16",4741200
"Dec-16",4767600
"Mar-17",4796700
"Jun-17",4813600
"Sep-17",4836300
"Dec-17",4859500
"Mar-18",4886100
"Jun-18",4900600
"Sep-18",4921300
"Dec-18",4941200
"Mar-19",4965300
"Jun-19",4979200
"Sep-19",5006900
"Dec-19",5040400
"Mar-20",5082800
"Jun-20",5090200
"Sep-20",5098700
"Dec-20",5103700
"Mar-21",5107900
"Jun-21",5111300
"Sep-21",5115000
"Dec-21",5116500
"Mar-22",5115100
"Jun-22",5117800
"Sep-22",5131600
"Dec-22",5161500
"Mar-23",5199100